日期,週次,學員姓名,班別,學習時數,練習題數,作業分數,投遞履歷數,面試邀約數,求職目標,期待薪資,通勤分鐘,飲料類別,飲料名稱,飲料杯數,城市,心情狀態
2026-06-01,1,小安,Python資料分析班,2.0,6,72,0,0,資料助理,33000,35,茶類,無糖綠茶,2,臺南市,普通
2026-06-02,1,小婷,Python資料分析班,2.5,8,78,1,0,行政資料助理,32000,28,咖啡,拿鐵,1,高雄市,有精神
2026-06-03,1,阿哲,網頁前端班,1.5,5,68,0,0,前端助理,34000,45,果茶,百香綠,2,臺南市,疲累
2026-06-04,1,小宇,Python資料分析班,3.0,10,82,1,1,資料助理,35000,40,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-06-05,1,怡君,電商行銷班,2.0,7,75,2,0,電商助理,31000,32,茶類,四季春,1,臺南市,普通
2026-06-06,1,冠廷,網頁前端班,2.5,8,80,1,0,切版助理,33500,55,咖啡,美式咖啡,2,屏東縣,普通
2026-06-07,1,雅雯,Python資料分析班,3.5,12,86,2,1,資料助理,36000,25,奶茶,鮮奶茶,2,臺南市,有成就感
2026-06-08,2,小安,Python資料分析班,2.5,9,78,1,0,資料助理,33500,34,茶類,無糖綠茶,2,臺南市,有精神
2026-06-09,2,小婷,Python資料分析班,3.0,11,84,2,1,行政資料助理,32500,28,咖啡,拿鐵,1,高雄市,有成就感
2026-06-10,2,阿哲,網頁前端班,2.0,7,73,1,0,前端助理,34500,43,果茶,檸檬紅茶,2,臺南市,普通
2026-06-11,2,小宇,Python資料分析班,3.5,13,88,2,1,資料助理,35500,38,奶茶,珍珠奶茶,3,嘉義市,有精神
2026-06-12,2,怡君,電商行銷班,2.5,8,79,2,1,電商助理,31500,31,茶類,四季春,1,臺南市,普通
2026-06-13,2,冠廷,網頁前端班,3.0,9,82,1,0,切版助理,34000,53,咖啡,美式咖啡,2,屏東縣,疲累
2026-06-14,2,雅雯,Python資料分析班,4.0,14,90,3,1,資料助理,36500,24,奶茶,鮮奶茶,2,臺南市,有成就感
2026-06-15,3,小安,Python資料分析班,3.0,11,82,2,1,資料助理,34000,33,茶類,無糖綠茶,2,臺南市,有精神
2026-06-16,3,小婷,Python資料分析班,3.5,12,86,3,1,行政資料助理,33000,27,咖啡,拿鐵,1,高雄市,有成就感
2026-06-17,3,阿哲,網頁前端班,2.5,9,77,2,0,前端助理,35000,42,果茶,百香綠,2,臺南市,普通
2026-06-18,3,小宇,Python資料分析班,4.0,15,91,3,2,資料助理,36000,37,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-06-19,3,怡君,電商行銷班,3.0,10,83,3,1,電商助理,32000,30,茶類,四季春,1,臺南市,有精神
2026-06-20,3,冠廷,網頁前端班,3.5,12,85,2,1,切版助理,34500,52,咖啡,美式咖啡,2,屏東縣,普通
2026-06-21,3,雅雯,Python資料分析班,4.5,16,93,4,2,資料助理,37000,23,奶茶,鮮奶茶,2,臺南市,有成就感
2026-06-22,4,小安,Python資料分析班,3.5,13,85,3,1,資料助理,34500,32,茶類,無糖綠茶,2,臺南市,有成就感
2026-06-23,4,小婷,Python資料分析班,4.0,14,89,3,2,行政資料助理,33500,26,咖啡,拿鐵,1,高雄市,有精神
2026-06-24,4,阿哲,網頁前端班,3.0,11,81,2,1,前端助理,35500,41,果茶,檸檬紅茶,2,臺南市,有精神
2026-06-25,4,小宇,Python資料分析班,4.5,17,94,4,2,資料助理,36500,36,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-06-26,4,怡君,電商行銷班,3.5,12,86,3,1,電商助理,32500,29,茶類,四季春,1,臺南市,普通
2026-06-27,4,冠廷,網頁前端班,4.0,14,88,3,1,切版助理,35000,50,咖啡,美式咖啡,2,屏東縣,有精神
2026-06-28,4,雅雯,Python資料分析班,5.0,18,96,4,2,資料助理,37500,22,奶茶,鮮奶茶,2,臺南市,有成就感
2026-06-29,5,小安,Python資料分析班,3.0,12,84,3,1,資料助理,35000,31,茶類,無糖綠茶,2,臺南市,普通
2026-06-30,5,小婷,Python資料分析班,4.5,16,91,4,2,行政資料助理,34000,25,咖啡,拿鐵,1,高雄市,有成就感
2026-07-01,5,阿哲,網頁前端班,3.5,13,84,3,1,前端助理,36000,40,果茶,百香綠,2,臺南市,有精神
2026-07-02,5,小宇,Python資料分析班,5.0,18,96,4,3,資料助理,37000,35,奶茶,珍珠奶茶,3,嘉義市,有成就感
2026-07-03,5,怡君,電商行銷班,4.0,14,89,4,2,電商助理,33000,28,茶類,四季春,1,臺南市,有精神
2026-07-04,5,冠廷,網頁前端班,4.5,16,90,3,1,切版助理,35500,49,咖啡,美式咖啡,2,屏東縣,有成就感
2026-07-05,5,雅雯,Python資料分析班,5.5,20,98,5,3,資料助理,38000,21,奶茶,鮮奶茶,2,臺南市,有成就感
